codigo_producto,producto,moneda,n_items,n_organismos,precio_min,precio_p25,precio_mediana,precio_p75,precio_max,ratio_p75_p25,ratio_max_min,revisar,codigos_oc
91111502,Servicios de lavandería,CLP,4,2,1639.0,43321834.75,59375950.0,62313587.5,66284350.0,1.44,40441.95,1,1057049-1831-SE24;1057049-1834-SE24;1057049-1913-SE24;1057491-1080-SE24
42291607,Gasas o curetas quirúrgicas,CLP,3,2,680.0,826.0,972.0,1111.0,1250.0,1.35,1.84,0,1002772-310-SE24;1057417-2582-AG24;1057417-2593-AG24
85121803,Laboratorios biológicos,CLP,6,2,69903.0,123625.0,147496.5,161015.75,2735275.0,1.3,39.13,1,1057049-1963-SE24;1057417-2698-SE24
50192303,"Postres, helados o yogurt congelado",CLP,5,2,300.0,300.0,300.0,390.0,2690.0,1.3,8.97,0,1057389-388-SE24;1057490-269-SE24
42203405,Globos de Angioplastia,CLP,4,2,65000.0,465500.0,599000.0,599000.0,599000.0,1.29,9.22,0,1057049-900-SE24;1057402-1016-SE24;1057402-1017-SE24;1057402-1497-SE24
42132205,Guantes quirúrgicos,CLP,11,4,19.0,180.0,210.0,228.0,1690.0,1.27,88.95,1,1057390-82-SE24;1057418-111-SE24;1057439-1065-SE24;1057461-436-SE24
42142615,Accesorios para jeringas,CLP,2,2,320.0,358.75,397.5,436.25,475.0,1.22,1.48,0,1057461-435-SE24;1057492-727-SE24
42203402,Catéteres o juegos vasculares intervencional o diagnósticos,CLP,2,2,270000.0,297500.0,325000.0,352500.0,380000.0,1.18,1.41,0,1002772-1174-SE24;1057489-2380-SE24
42241707,Soportes para caminar,CLP,2,2,17300.0,18975.0,20650.0,22325.0,24000.0,1.18,1.39,0,1057402-1761-SE24;1057472-2015-SE24
41104112,Contenedores de recogida de orina,CLP,2,2,1650.0,1762.5,1875.0,1987.5,2100.0,1.13,1.27,0,1057402-1683-SE24;1057431-434-SE24
42311526,Vendajes de apósitos,CLP,10,2,2100.0,4690.0,4862.0,5196.0,9900.0,1.11,4.71,0,1002772-1016-AG24;1002772-1096-AG24;1002772-600-AG24;1002772-971-SE24;1002772-975-SE24;1002772-976-SE24;1057491-1359-SE24
42142601,Jeringas médicas de aspiración o irrigación,CLP,4,2,33.0,36.0,38.0,39.25,40.0,1.09,1.21,0,1057461-418-SE24;1057472-2130-SE24
50181901,Pan fresco,CLP,2,2,2000.0,2072.5,2145.0,2217.5,2290.0,1.07,1.15,0,1051765-139-SE24;1057389-388-SE24
50131606,Huevos frescos,CLP,3,2,195.0,195.0,195.0,207.5,220.0,1.06,1.13,0,1057389-786-SE24;1057389-787-SE24;1057490-269-SE24
42221803,"Cintas, vendaje, correas o puños para posicionar e",CLP,2,2,5500.0,5535.25,5570.5,5605.75,5641.0,1.01,1.03,0,1057461-436-SE24;1057472-2122-SE24
93151607,Servicios de auditoria gubernamentales,CLP,2,2,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1.0,1.0,0,1004823-17-SE24;1035685-53-SE24
