codigo_producto,producto,n_organismos,n_ordenes,n_lineas,gasto_total
42272209,Circuito de respiración o ventilador,7,17,18,26334408
42142502,Agujas para anestesia,7,16,30,24757430
85121902,Farmacias,7,16,26,8496010
42142902,Lentes de gafas,7,15,110,26054808
42231806,Alimento nutritivo médico o espesadores de líquido,7,14,28,48042320
47121701,Bolsas de basura,7,10,22,6912516
51181517,Clorhidrato de metformina,7,10,18,98011336
50192401,"Mermeladas, gelatinas, conservas de fruta",7,10,30,15427308
50202304,Jugos y néctar envasados,7,9,18,6061910
42312313,Soluciones para la limpieza de heridas,7,9,11,6260665
50151513,Aceites de plantas y verduras comestibles,7,9,10,8553456
42161701,Hemafiltros,7,9,18,22496912
42291607,Gasas o curetas quirúrgicas,7,8,12,8739536
42152508,"Jeringas dentales, agujas o jeringas con agujas",7,8,9,4069706
42191807,Camas de cuidado del paciente o accesorios de uso general,7,8,10,30370399
51181506,Insulina,7,8,9,67864200
47131810,Productos para lavar platos,7,8,8,1624130
42142702,Catéteres urinarios uretrales,7,8,14,6217870
72102103,Servicios de exterminación o fumigación,7,8,10,8502380
42231801,Fórmulas suplementarias de adulto para uso general,7,8,32,10943915
50201706,Café,7,8,9,2561514
50192303,"Postres, helados o yogurt congelado",7,8,15,1596934
14111805,Talones o talonarios,7,8,36,6663728
52151503,Cubertería desechable doméstica,7,8,23,14281145
50101717,Semillas o frutos secos pelados,7,8,10,365444
42142530,Agujas de tratamiento diagnóstico,7,8,9,9940700
78121601,Servicios de flete,7,8,9,3834616
50202310,Agua mineral,7,7,10,26088860
44122103,Corchetes,7,7,23,600584
51141704,Risperidona,7,7,8,2901939
92121504,Guardias de seguridad,7,7,7,271247134
42142507,Agujas mariposa,7,7,8,3418900
42272015,Kits de succión,7,7,15,10815788
44121506,Sobres estándar,7,7,21,477914
51161812,Combinación clorfeniramina-acetaminofeno,7,7,9,8127367
51101580,Cefadroxilo,7,7,7,1110885
51101511,Amoxicilina,7,7,7,4507045
42242003,Dispositivos de sujeción protésica o accesorios,6,89,365,364540620
85121609,Servicios quirúrgicos,6,54,86,696235157
80111701,Servicios de contratación de personal,6,34,34,541059572
24112404,Caja,6,19,27,30283290
42311526,Vendajes de apósitos,6,16,22,17769390
42292908,Dispositivos de sutura quirúrgica,6,16,43,143199291
42203402,Catéteres o juegos vasculares intervencional o diagnósticos,6,12,17,19062720
42203501,Accesorios o desfibriladores implantables o genera,6,12,20,135611800
50221102,Harina de trigo,6,12,16,66007873
41116002,Reactivos de analizadores de banco de sangre,6,12,46,36064065
85101503,Servicios de consulta médica,6,11,13,37678812
78111502,"Viajes en aviones comerciales, pasajes aéreos",6,10,20,12630146
42291706,Fresas quirúrgicas o sus accesorios,6,10,18,12466230
50171901,Conservas,6,10,16,4718472
42222008,Kits o accesorios de bombas de infusión,6,9,15,79952620
50192901,Pasta o tallarines naturales frescos,6,9,14,2228524
42311510,Vendaje de espuma,6,9,11,18644473
86111604,Capacitación a empleados,6,8,14,21735779
51121818,Atorvastatina,6,8,8,15951240
50171832,Aliño de ensaladas,6,8,8,222892
51102714,Solución de cloruro sódico para irrigación,6,8,9,29895500
85101604,Servicios paramédicos,6,8,15,61834759
42291610,Planas quirúrgicas,6,8,9,50567800
80141607,Producción de eventos,6,8,14,66304113
42271802,Nebulizadores o accesorios,6,7,20,8030285
42281804,Controles de esterilización,6,7,16,25374974
72102201,Instalación o servicio de sistemas de energía eléc,6,7,10,89573023
60121535,Goma de borrar,6,7,7,134129
44121705,Portaminas,6,7,13,184090
50221001,Granos de Legumbres,6,7,14,21122420
51121733,Valsartan,6,7,9,4930896
78180104,Reparación de tren delantero o trasero,6,7,8,153517878
42221603,Tubería de extensión arterial o intravenosa,6,7,8,6595100
